timestamp,tweet_text
2025-03-25 06:00:26.538911,Ethereum just hit a new high!
2025-03-25 13:30:26.538911,Whales are buying up all the tokens.
2025-03-25 09:54:26.538911,Massive sell-off happening now.
2025-03-26 04:14:26.538911,Ethereum just hit a new high!
2025-03-25 08:07:26.538911,Regulations might impact Bitcoin soon.
2025-03-24 19:33:26.538918,Great entry point for altcoins!
2025-03-24 06:10:26.538918,Bitcoin is pumping ðŸš€
2025-03-24 12:36:26.538918,Ethereum just hit a new high!
2025-03-24 22:23:26.538918,Massive sell-off happening now.
2025-03-24 06:03:26.538918,Great entry point for altcoins!
2025-03-23 11:56:26.538920,Regulations might impact Bitcoin soon.
2025-03-23 19:28:26.538920,Regulations might impact Bitcoin soon.
2025-03-23 20:28:26.538920,Massive sell-off happening now.
2025-03-23 14:38:26.538920,Great entry point for altcoins!
2025-03-23 10:35:26.538920,Bitcoin is pumping ðŸš€
2025-03-22 16:45:26.538921,The crypto market looks bullish today.
2025-03-22 10:27:26.538921,Whales are buying up all the tokens.
2025-03-22 16:38:26.538921,Massive sell-off happening now.
2025-03-22 08:18:26.538921,Ethereum just hit a new high!
2025-03-22 08:27:26.538921,The crypto market looks bullish today.
2025-03-21 16:53:26.538922,HODL strong!
2025-03-21 14:10:26.538922,Great entry point for altcoins!
2025-03-21 20:49:26.538922,Bitcoin is pumping ðŸš€
2025-03-21 09:24:26.538922,Regulations might impact Bitcoin soon.
2025-03-21 07:50:26.538922,The crypto market looks bullish today.
2025-03-20 15:09:26.538923,Regulations might impact Bitcoin soon.
2025-03-20 17:29:26.538923,Great entry point for altcoins!
2025-03-20 11:42:26.538923,Great entry point for altcoins!
2025-03-20 06:42:26.538923,Ethereum just hit a new high!
2025-03-20 15:01:26.538923,Massive sell-off happening now.
2025-03-19 13:05:26.538924,Ethereum just hit a new high!
2025-03-19 18:07:26.538924,Ethereum just hit a new high!
2025-03-19 20:37:26.538924,Whales are buying up all the tokens.
2025-03-19 10:42:26.538924,HODL strong!
2025-03-19 17:16:26.538924,HODL strong!
2025-03-19 04:01:26.538926,Massive sell-off happening now.
2025-03-19 05:06:26.538926,Whales are buying up all the tokens.
2025-03-19 01:56:26.538926,Ethereum just hit a new high!
2025-03-18 23:22:26.538926,I'm worried about this dip in the market.
2025-03-18 10:43:26.538926,Massive sell-off happening now.
2025-03-17 18:06:26.538928,Bearish signals from the charts.
2025-03-18 02:59:26.538928,Whales are buying up all the tokens.
2025-03-17 12:38:26.538928,Regulations might impact Bitcoin soon.
2025-03-17 07:03:26.538928,HODL strong!
2025-03-17 06:14:26.538928,Massive sell-off happening now.
2025-03-16 18:50:26.538929,HODL strong!
2025-03-16 07:24:26.538929,Whales are buying up all the tokens.
2025-03-17 00:30:26.538929,Massive sell-off happening now.
2025-03-16 12:24:26.538929,HODL strong!
2025-03-16 18:39:26.538929,Bearish signals from the charts.
